course_name,fav_win_rate,longshot_place_rate,extreme_longshot_place_rate,upset_score,upset_rank
新潟芝1000m,29.5,16.8,4.0,20.2,S
新潟芝1200m,35.6,15.3,5.1,14.9,B
新潟芝1400m,19.0,16.1,5.2,32.5,S
新潟芝1600m,38.7,15.7,3.9,9.8,C
新潟芝1800m,31.0,13.7,4.3,16.2,A
新潟芝2000m（内回り）,26.5,14.0,5.1,22.7,S
新潟芝2000m（外回り）,26.5,14.0,5.1,22.7,S
新潟芝2200m,42.0,17.1,5.0,10.1,B
新潟芝2400m,36.0,19.1,4.2,16.5,A
新潟ダート1200m,34.7,15.6,5.0,15.9,A
新潟ダート1800m,34.9,14.1,5.9,16.0,A
新潟ダート2500m,37.5,18.8,4.5,15.2,A
