factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,151,152,150,1688,2141,7.1,14.2,21.2,79.0,82.0
father_w,ゴールドシップ,12,5,10,69,96,12.5,17.7,28.1,116.0,97.0
father_w,キズナ,9,7,5,48,69,13.0,23.2,30.4,108.0,85.0
father_w,ダノンバラード,9,3,6,35,53,17.0,22.6,34.0,192.0,103.0
father_w,ドゥラメンテ,8,7,4,44,63,12.7,23.8,30.2,77.0,94.0
father_w,シルバーステート,8,5,0,28,41,19.5,31.7,31.7,138.0,90.0
father_w,エピファネイア,5,7,8,78,98,5.1,12.2,20.4,51.0,75.0
father_w,リオンディーズ,5,2,0,26,33,15.2,21.2,21.2,115.0,64.0
father_w,ブラックタイド,5,3,1,19,28,17.9,28.6,32.1,288.0,135.0
father_w,ハービンジャー,4,5,4,63,76,5.3,11.8,17.1,65.0,71.0
father_w,ディープインパクト,4,4,4,46,58,6.9,13.8,20.7,64.0,70.0
jockey_w,戸崎圭太,13,11,9,34,67,19.4,35.8,49.3,63.0,80.0
jockey_w,菅原明良,10,7,8,54,79,12.7,21.5,31.6,89.0,90.0
jockey_w,西村淳也,7,2,2,14,25,28.0,36.0,44.0,152.0,102.0
jockey_w,荻野極,6,4,1,37,48,12.5,20.8,22.9,121.0,83.0
jockey_w,佐々木大輔,6,2,1,19,28,21.4,28.6,32.1,177.0,115.0
jockey_w,津村明秀,5,6,4,39,54,9.3,20.4,27.8,67.0,88.0
jockey_w,横山琉人,5,2,3,38,48,10.4,14.6,20.8,156.0,86.0
jockey_w,石川裕紀人,5,3,4,35,47,10.6,17.0,25.5,106.0,88.0
jockey_w,丹内祐次,5,2,6,32,45,11.1,15.6,28.9,88.0,67.0
jockey_w,斎藤新,5,3,3,31,42,11.9,19.0,26.2,103.0,69.0
frame,1枠,20,15,15,184,234,8.5,15.0,21.4,81.0,75.0
frame,2枠,20,16,13,194,243,8.2,14.8,20.2,99.0,78.0
frame,3枠,25,24,15,193,257,9.7,19.1,24.9,111.0,98.0
frame,4枠,21,22,20,207,270,7.8,15.9,23.3,91.0,89.0
frame,5枠,16,23,27,212,278,5.8,14.0,23.7,62.0,89.0
frame,6枠,17,17,18,232,284,6.0,12.0,18.3,67.0,78.0
frame,7枠,16,20,27,224,287,5.6,12.5,22.0,66.0,84.0
frame,8枠,16,15,15,242,288,5.6,10.8,16.0,63.0,65.0
averunningstyle,逃げ,8,6,11,68,93,8.6,15.1,26.9,75.0,82.0
averunningstyle,先行,68,64,53,467,652,10.4,20.2,28.4,85.0,85.0
averunningstyle,差し,19,12,12,70,113,16.8,27.4,38.1,91.0,87.0
averunningstyle,追込,1,0,1,3,5,20.0,20.0,40.0,101.0,74.0
distance,500m以上延長,0,0,0,52,52,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,4,7,6,100,117,3.4,9.4,14.5,58.0,83.0
distance,100m-200m延長,34,41,27,323,425,8.0,17.6,24.0,85.0,83.0
distance,距離変更なし,53,41,58,567,719,7.4,13.1,21.1,77.0,77.0
distance,100m-200m短縮,26,29,25,269,349,7.4,15.8,22.9,78.0,85.0
distance,300m-400m短縮,3,3,2,28,36,8.3,16.7,22.2,107.0,106.0
distance,500m以上短縮,1,1,3,24,29,3.4,6.9,17.2,46.0,75.0
surface,芝→芝,113,118,115,1208,1554,7.3,14.9,22.3,76.0,81.0
surface,ダ→芝,8,4,6,151,169,4.7,7.1,10.7,130.0,73.0
stable_trainer,美浦,100,114,129,1302,1645,6.1,13.0,20.9,72.0,83.0
stable_trainer,栗東,51,38,21,385,495,10.3,18.0,22.2,98.0,78.0
