factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,176,176,176,1833,2361,7.5,14.9,22.4,78.0,81.0
father_w,ドゥラメンテ,16,11,9,72,108,14.8,25.0,33.3,107.0,79.0
father_w,キズナ,11,9,9,51,80,13.8,25.0,36.2,108.0,107.0
father_w,エピファネイア,10,9,6,89,114,8.8,16.7,21.9,84.0,75.0
father_w,ディープインパクト,10,9,10,64,93,10.8,20.4,31.2,78.0,88.0
father_w,ロードカナロア,10,14,6,60,90,11.1,26.7,33.3,67.0,77.0
father_w,ハーツクライ,7,4,5,65,81,8.6,13.6,19.8,79.0,65.0
father_w,モーリス,7,8,5,60,80,8.8,18.8,25.0,68.0,71.0
father_w,ゴールドシップ,6,11,9,94,120,5.0,14.2,21.7,50.0,77.0
father_w,ハービンジャー,6,5,8,55,74,8.1,14.9,25.7,74.0,84.0
father_w,リアルスティール,6,4,2,21,33,18.2,30.3,36.4,115.0,95.0
jockey_w,戸崎圭太,22,9,10,73,114,19.3,27.2,36.0,94.0,71.0
jockey_w,横山武史,18,17,18,52,105,17.1,33.3,50.5,80.0,98.0
jockey_w,C.ルメール,15,15,7,28,65,23.1,46.2,56.9,63.0,79.0
jockey_w,津村明秀,7,7,8,68,90,7.8,15.6,24.4,70.0,72.0
jockey_w,三浦皇成,7,7,9,56,79,8.9,17.7,29.1,74.0,68.0
jockey_w,菅原明良,6,10,13,74,103,5.8,15.5,28.2,59.0,87.0
jockey_w,丹内祐次,6,2,8,72,88,6.8,9.1,18.2,100.0,88.0
jockey_w,柴田大知,5,7,2,60,74,6.8,16.2,18.9,104.0,92.0
jockey_w,横山和生,5,6,3,48,62,8.1,17.7,22.6,71.0,63.0
jockey_w,M.デムーロ,5,5,5,24,39,12.8,25.6,38.5,93.0,109.0
frame,1枠,19,30,15,180,244,7.8,20.1,26.2,70.0,88.0
frame,2枠,19,12,27,199,257,7.4,12.1,22.6,78.0,87.0
frame,3枠,19,17,32,208,276,6.9,13.0,24.6,76.0,87.0
frame,4枠,24,27,24,215,290,8.3,17.6,25.9,75.0,82.0
frame,5枠,17,19,17,251,304,5.6,11.8,17.4,61.0,67.0
frame,6枠,23,22,22,252,319,7.2,14.1,21.0,85.0,80.0
frame,7枠,30,28,21,251,330,9.1,17.6,23.9,93.0,84.0
frame,8枠,25,21,18,277,341,7.3,13.5,18.8,86.0,75.0
averunningstyle,逃げ,13,4,9,65,91,14.3,18.7,28.6,122.0,92.0
averunningstyle,先行,88,86,80,679,933,9.4,18.6,27.2,79.0,82.0
averunningstyle,差し,22,32,27,146,227,9.7,23.8,35.7,64.0,81.0
averunningstyle,追込,6,1,2,13,22,27.3,31.8,40.9,135.0,98.0
distance,500m以上延長,0,0,0,33,33,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,3,1,6,53,63,4.8,6.3,15.9,121.0,111.0
distance,100m-200m延長,25,32,33,369,459,5.4,12.4,19.6,57.0,71.0
distance,距離変更なし,81,65,71,589,806,10.0,18.1,26.9,92.0,89.0
distance,100m-200m短縮,36,48,40,436,560,6.4,15.0,22.1,68.0,76.0
distance,300m-400m短縮,3,7,3,58,71,4.2,14.1,18.3,57.0,76.0
distance,500m以上短縮,6,1,2,31,40,15.0,17.5,22.5,165.0,106.0
surface,芝→芝,150,151,148,1425,1874,8.0,16.1,24.0,78.0,81.0
surface,ダ→芝,4,3,7,140,154,2.6,4.5,9.1,76.0,79.0
stable_trainer,美浦,138,149,149,1590,2026,6.8,14.2,21.5,73.0,79.0
stable_trainer,栗東,38,27,27,242,334,11.4,19.5,27.5,105.0,90.0
