factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,337,337,339,4013,5026,6.7,13.4,20.2,79.0,80.0
father_w,ロードカナロア,21,16,17,157,211,10.0,17.5,25.6,88.0,86.0
father_w,ヘニーヒューズ,13,15,9,155,192,6.8,14.6,19.3,64.0,59.0
father_w,ドレフォン,13,7,12,89,121,10.7,16.5,26.4,110.0,90.0
father_w,キズナ,11,7,7,82,107,10.3,16.8,23.4,113.0,79.0
father_w,シニスターミニスター,10,11,10,84,115,8.7,18.3,27.0,74.0,82.0
father_w,ダイワメジャー,10,4,5,65,84,11.9,16.7,22.6,128.0,78.0
father_w,パイロ,9,5,10,79,103,8.7,13.6,23.3,85.0,89.0
father_w,モーリス,9,8,2,62,81,11.1,21.0,23.5,91.0,67.0
father_w,キンシャサノキセキ,8,10,7,91,116,6.9,15.5,21.6,73.0,82.0
father_w,ルーラーシップ,8,9,10,82,109,7.3,15.6,24.8,94.0,89.0
jockey_w,川田将雅,30,19,4,41,94,31.9,52.1,56.4,91.0,85.0
jockey_w,松山弘平,28,14,20,95,157,17.8,26.8,39.5,103.0,90.0
jockey_w,岩田望来,16,18,15,89,138,11.6,24.6,35.5,84.0,97.0
jockey_w,坂井瑠星,14,11,9,80,114,12.3,21.9,29.8,91.0,82.0
jockey_w,西村淳也,11,9,12,87,119,9.2,16.8,26.9,91.0,83.0
jockey_w,幸英明,10,10,14,132,166,6.0,12.0,20.5,65.0,68.0
jockey_w,団野大成,10,10,10,79,109,9.2,18.3,27.5,79.0,78.0
jockey_w,福永祐一,10,12,11,22,55,18.2,40.0,60.0,69.0,95.0
jockey_w,鮫島克駿,9,10,10,102,131,6.9,14.5,22.1,65.0,70.0
jockey_w,武豊,7,5,11,43,66,10.6,18.2,34.8,63.0,73.0
frame,1枠,29,30,33,469,561,5.2,10.5,16.4,65.0,71.0
frame,2枠,36,45,29,487,597,6.0,13.6,18.4,73.0,75.0
frame,3枠,41,41,44,484,610,6.7,13.4,20.7,83.0,83.0
frame,4枠,44,32,45,510,631,7.0,12.0,19.2,79.0,73.0
frame,5枠,44,39,49,516,648,6.8,12.8,20.4,87.0,82.0
frame,6枠,49,47,51,502,649,7.6,14.8,22.7,85.0,80.0
frame,7枠,48,47,42,526,663,7.2,14.3,20.7,80.0,83.0
frame,8枠,46,56,46,519,667,6.9,15.3,22.2,79.0,89.0
averunningstyle,逃げ,14,21,11,156,202,6.9,17.3,22.8,57.0,71.0
averunningstyle,先行,158,158,137,1321,1774,8.9,17.8,25.5,76.0,80.0
averunningstyle,差し,38,34,36,209,317,12.0,22.7,34.1,81.0,81.0
averunningstyle,追込,4,6,4,24,38,10.5,26.3,36.8,59.0,83.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,2,2,6,93,103,1.9,3.9,9.7,33.0,49.0
distance,100m-200m延長,42,51,47,816,956,4.4,9.7,14.6,75.0,72.0
distance,距離変更なし,186,186,181,1591,2144,8.7,17.4,25.8,78.0,83.0
distance,100m-200m短縮,40,20,27,350,437,9.2,13.7,19.9,107.0,80.0
distance,300m-400m短縮,37,48,47,705,837,4.4,10.2,15.8,74.0,80.0
distance,500m以上短縮,3,3,4,85,95,3.2,6.3,10.5,82.0,87.0
surface,ダ→ダ,264,274,284,3038,3860,6.8,13.9,21.3,77.0,81.0
surface,芝→ダ,46,36,28,593,703,6.5,11.7,15.6,98.0,76.0
stable_trainer,美浦,57,43,60,1000,1160,4.9,8.6,13.8,75.0,67.0
stable_trainer,栗東,280,294,279,3009,3862,7.3,14.9,22.1,80.0,82.0
