factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,111,112,110,1242,1575,7.0,14.2,21.1,79,79
father_w,モーリス,8,6,4,46,64,12.5,21.9,28.1,119,93
father_w,ロードカナロア,9,7,9,79,104,8.7,15.4,24.0,86,86
father_w,ビッグアーサー,5,2,3,35,45,11.1,15.6,22.2,124,71
father_w,シルバーステート,4,3,5,34,46,8.7,15.2,26.1,66,70
father_w,リオンディーズ,2,1,1,12,16,12.5,18.8,25.0,172,118
father_w,タワーオブロンドン,2,3,2,7,14,14.3,35.7,50.0,149,194
father_w,リアルスティール,2,0,1,10,13,15.4,15.4,23.1,222,84
father_w,エピファネイア,1,1,3,18,23,4.3,8.7,21.7,78,103
father_w,ブリックスアンドモルタル,1,1,0,17,19,5.3,10.5,10.5,105,66
father_w,ファインニードル,1,2,1,12,16,6.2,18.8,25.0,88,78
father_w,キズナ,4,4,1,36,45,8.9,17.8,20.0,80,64
father_w,キタサンブラック,4,0,4,8,16,25.0,25.0,50.0,183,124
father_w,ミッキーアイル,3,5,3,18,29,10.3,27.6,37.9,86,96
father_w,ドゥラメンテ,3,1,2,21,27,11.1,14.8,22.2,121,73
father_w,リアルインパクト,3,0,0,6,9,33.3,33.3,33.3,240,119
father_w,ダイワメジャー,2,3,2,29,36,5.6,13.9,19.4,59,69
jockey_w,松山弘平,8,8,3,38,57,14.0,28.1,33.3,93,81
jockey_w,岩田望来,10,2,10,39,61,16.4,19.7,36.1,136,94
jockey_w,和田竜二,3,2,0,15,20,15.0,25.0,25.0,331,141
jockey_w,鮫島克駿,6,6,4,33,49,12.2,24.5,32.7,100,85
jockey_w,坂井瑠星,3,2,0,7,12,25.0,41.7,41.7,155,112
jockey_w,田口貫太,6,4,4,62,76,7.9,13.2,18.4,202,127
jockey_w,吉村誠之助,2,1,2,13,18,11.1,16.7,27.8,104,98
jockey_w,高杉吏麒,2,0,0,13,15,13.3,13.3,13.3,412,115
jockey_w,武豊,6,7,5,23,41,14.6,31.7,43.9,78,89
jockey_w,池添謙一,2,0,1,7,10,20.0,20.0,30.0,425,148
jockey_w,西村淳也,4,2,5,28,39,10.3,15.4,28.2,81,81
jockey_w,団野大成,3,4,0,35,42,7.1,16.7,16.7,70,50
jockey_w,幸英明,3,1,5,29,38,7.9,10.5,23.7,81,73
jockey_w,北村友一,3,4,3,20,30,10.0,23.3,33.3,81,109
jockey_w,角田大河,3,2,1,15,21,14.3,23.8,28.6,159,113
frame,1枠,11,13,9,127,160,6.9,15.0,20.6,94,91
frame,2枠,8,14,9,136,167,4.8,13.2,18.6,52,65
frame,3枠,16,12,23,123,174,9.2,16.1,29.3,81,95
frame,4枠,12,15,8,148,183,6.6,14.8,19.1,71,71
frame,5枠,14,12,13,156,195,7.2,13.3,20.0,92,83
frame,6枠,12,14,16,160,202,5.9,12.9,20.8,62,75
frame,7枠,23,16,18,181,238,9.7,16.4,23.9,111,87
frame,8枠,15,16,14,211,256,5.9,12.1,17.6,68,70
averunningstyle,逃げ,9,9,11,47,76,11.8,23.7,38.2,89,94
averunningstyle,先行,52,54,51,448,605,8.6,17.5,26.0,79,81
averunningstyle,差し,16,13,17,111,157,10.2,18.5,29.3,78,76
averunningstyle,追込,1,0,0,7,8,12.5,12.5,12.5,62,28
distance,500m以上延長,0,0,0,0,0,,,,,
distance,300m-400m延長,0,0,0,10,10,0.0,0.0,0.0,0,0
distance,100m-200m延長,18,23,15,286,342,5.3,12.0,16.4,84,79
distance,距離変更なし,45,47,47,420,559,8.1,16.5,24.9,73,79
distance,100m-200m短縮,30,27,29,277,363,8.3,15.7,23.7,81,82
distance,300m-400m短縮,4,2,5,71,82,4.9,7.3,13.4,117,77
distance,500m以上短縮,1,0,1,16,18,5.6,5.6,11.1,232,136
surface,芝→芝,94,91,92,939,1216,7.7,15.2,22.8,79,79
surface,ダ→芝,4,8,5,140,157,2.5,7.6,10.8,84,109
stable_trainer,美浦,6,2,6,104,118,5.1,6.8,11.9,75,51
stable_trainer,栗東,105,110,104,1130,1449,7.2,14.8,22.0,79,81
