factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,71,71,71,833,1046,6.8,13.6,20.4,79.0,81.0
father_w,ロードカナロア,7,5,3,49,64,10.9,18.8,23.4,90.0,84.0
father_w,ビッグアーサー,6,4,6,43,59,10.2,16.9,27.1,90.0,87.0
father_w,モーリス,5,4,3,28,40,12.5,22.5,30.0,138.0,120.0
father_w,ファインニードル,4,1,1,23,29,13.8,17.2,20.7,248.0,92.0
father_w,リオンディーズ,3,3,1,21,28,10.7,21.4,25.0,110.0,92.0
father_w,サトノダイヤモンド,3,3,1,14,21,14.3,28.6,33.3,137.0,100.0
father_w,アジアエクスプレス,3,4,0,6,13,23.1,53.8,53.8,123.0,113.0
father_w,シルバーステート,2,0,0,18,20,10.0,10.0,10.0,199.0,66.0
father_w,イスラボニータ,2,1,0,15,18,11.1,16.7,16.7,199.0,89.0
father_w,カレンブラックヒル,2,1,0,9,12,16.7,25.0,25.0,237.0,164.0
jockey_w,坂井瑠星,7,3,4,16,30,23.3,33.3,46.7,103.0,99.0
jockey_w,団野大成,5,2,1,33,41,12.2,17.1,19.5,112.0,69.0
jockey_w,岩田望来,4,3,7,24,38,10.5,18.4,36.8,79.0,95.0
jockey_w,幸英明,3,1,6,33,43,7.0,9.3,23.3,85.0,88.0
jockey_w,鮫島克駿,3,3,3,33,42,7.1,14.3,21.4,74.0,84.0
jockey_w,武豊,3,2,2,18,25,12.0,20.0,28.0,64.0,74.0
jockey_w,北村友一,3,1,0,14,18,16.7,22.2,22.2,170.0,86.0
jockey_w,M.デムーロ,3,1,2,9,15,20.0,26.7,40.0,224.0,129.0
jockey_w,田口貫太,2,2,2,40,46,4.3,8.7,13.0,88.0,72.0
jockey_w,松山弘平,2,1,1,31,35,5.7,8.6,11.4,50.0,37.0
frame,1枠,6,10,7,86,109,5.5,14.7,21.1,58.0,79.0
frame,2枠,9,4,10,86,109,8.3,11.9,21.1,109.0,102.0
frame,3枠,7,6,13,89,115,6.1,11.3,22.6,60.0,69.0
frame,4枠,8,6,5,106,125,6.4,11.2,15.2,98.0,74.0
frame,5枠,7,10,10,103,130,5.4,13.1,20.8,64.0,85.0
frame,6枠,11,11,5,107,134,8.2,16.4,20.1,86.0,70.0
frame,7枠,14,14,12,121,161,8.7,17.4,24.8,99.0,101.0
frame,8枠,9,10,9,135,163,5.5,11.7,17.2,69.0,70.0
averunningstyle,逃げ,11,8,3,65,87,12.6,21.8,25.3,114.0,93.0
averunningstyle,先行,32,41,39,354,466,6.9,15.7,24.0,67.0,80.0
averunningstyle,差し,6,3,4,66,79,7.6,11.4,16.5,80.0,65.0
averunningstyle,追込,1,1,1,4,7,14.3,28.6,42.9,153.0,127.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,100m-200m延長,0,0,0,36,36,0.0,0.0,0.0,0.0,0.0
distance,距離変更なし,50,43,47,502,642,7.8,14.5,21.8,88.0,85.0
distance,100m-200m短縮,10,18,10,154,192,5.2,14.6,19.8,60.0,79.0
distance,300m-400m短縮,3,2,6,49,60,5.0,8.3,18.3,80.0,82.0
distance,500m以上短縮,0,0,0,16,16,0.0,0.0,0.0,0.0,0.0
surface,芝→芝,58,58,57,670,843,6.9,13.8,20.5,78.0,79.0
surface,ダ→芝,5,5,6,86,102,4.9,9.8,15.7,98.0,118.0
stable_trainer,美浦,6,6,4,87,103,5.8,11.7,15.5,75.0,72.0
stable_trainer,栗東,65,65,67,743,940,6.9,13.8,21.0,80.0,82.0
