場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
中京,ダート,1900,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,178,45.5,23.2,26,46.2,20.9,55,81
中京,ダート,1900,前走着順が3着以内,前走着順が5着以内,馬齢が3歳以下,買い,178,45.5,23.2,26,46.2,20.9,55,81
新潟,芝,1600,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,119,46.2,20.2,18,50.0,22.2,72,125
新潟,芝,1600,前走の馬体重が460kg以上,前走着順が3着以内,枠番が6~8枠,買い,107,46.7,20.2,16,43.8,22.2,72,154
新潟,芝,1600,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,142,44.4,20.2,21,57.1,22.2,64,156
東京,芝,2400,前走の馬体重が460kg以上,騎手がルメール,,買い,67,74.6,24.2,22,72.7,23.1,123,90
東京,芝,2400,前走着順が9着以内,騎手がルメール,,買い,74,68.9,24.2,28,75.0,23.1,115,93
東京,芝,2400,馬齢が4歳以下,騎手がルメール,,買い,61,70.5,24.2,28,75.0,23.1,90,93
新潟,芝,1000,前走着順が5着以内,性別が牡馬・セン,枠番が6~8枠,買い,56,60.7,18.0,20,60.0,18.8,136,87
新潟,芝,1000,前走との間隔が中4週以内,前走着順が5着以内,枠番が6~8枠,買い,114,50.0,18.0,35,45.7,18.8,102,38
新潟,芝,1000,前走の馬体重が460kg以上,前走着順が5着以内,枠番が6~8枠,買い,111,49.5,18.0,40,52.5,18.8,98,76
新潟,芝,1400,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,55,61.8,18.7,15,33.3,19.0,117,0
新潟,芝,1400,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,72,52.8,18.7,21,28.6,19.0,111,0
新潟,芝,1400,前走中央場所,前走着順が5着以内,馬齢が3歳以下,買い,106,47.2,18.7,38,21.1,19.0,61,0
東京,ダート,1300,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,207,47.3,19.5,49,46.9,19.3,183,65
東京,ダート,1300,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,187,47.6,19.5,44,47.7,19.3,191,58
東京,ダート,1300,前走との間隔が中8週以上,前走着順が3着以内,前走着順が5着以内,買い,234,46.2,19.5,58,46.6,19.3,168,226
新潟,芝,2000,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,143,49.0,22.3,46,32.6,20.8,67,60
新潟,芝,2000,出走頭数が12頭以下,前走着順が3着以内,馬齢が4歳以下,買い,98,51.0,22.3,18,27.8,20.8,82,94
新潟,芝,2000,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,98,51.0,22.3,30,36.7,20.8,67,26
札幌,芝,1200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,89,48.3,21.3,23,39.1,22.2,81,49
札幌,芝,1200,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,206,42.7,21.3,57,45.6,22.2,89,84
札幌,芝,1200,前走着順が3着以内,前走着順が5着以内,馬齢が3歳以下,買い,206,42.7,21.3,57,45.6,22.2,89,84
福島,芝,2000,前走との間隔が中8週以上,前走中央場所,前走着順が5着以内,買い,132,39.4,21.0,48,50.0,20.9,74,66
福島,芝,2000,前走との間隔が中8週以上,前走着順が5着以内,馬齢が4歳以下,買い,243,37.0,21.0,82,46.3,20.9,86,62
福島,芝,2000,前走の馬体重が460kg以上,前走着順が5着以内,馬齢が4歳以下,買い,176,38.1,21.0,66,36.4,20.9,97,63
中京,芝,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,136,44.9,20.1,28,42.9,20.5,128,141
中京,芝,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,202,42.6,20.1,35,42.9,20.5,109,118
中京,芝,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,105,46.7,20.1,25,44.0,20.5,63,130
