factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,292,291,291,2871,3745,7.8,15.6,23.3,79.0,84.0
father_w,ドゥラメンテ,25,24,17,125,191,13.1,25.7,34.6,102.0,95.0
father_w,エピファネイア,23,26,17,146,212,10.8,23.1,31.1,69.0,82.0
father_w,ディープインパクト,22,21,17,130,190,11.6,22.6,31.6,77.0,83.0
father_w,モーリス,19,12,12,70,113,16.8,27.4,38.1,105.0,103.0
father_w,ロードカナロア,18,17,18,95,148,12.2,23.6,35.8,68.0,87.0
father_w,キズナ,18,15,19,72,124,14.5,26.6,41.9,103.0,111.0
father_w,キタサンブラック,15,7,5,52,79,19.0,27.8,34.2,107.0,81.0
father_w,ハーツクライ,11,18,14,90,133,8.3,21.8,32.3,63.0,89.0
father_w,ハービンジャー,9,13,5,91,118,7.6,18.6,22.9,67.0,83.0
father_w,リアルスティール,8,6,9,42,65,12.3,21.5,35.4,76.0,79.0
jockey_w,C.ルメール,50,38,28,58,174,28.7,50.6,66.7,78.0,89.0
jockey_w,戸崎圭太,31,32,22,93,178,17.4,35.4,47.8,78.0,94.0
jockey_w,横山武史,18,17,17,91,143,12.6,24.5,36.4,76.0,82.0
jockey_w,D.レーン,15,5,4,21,45,33.3,44.4,53.3,90.0,75.0
jockey_w,川田将雅,12,13,8,20,53,22.6,47.2,62.3,86.0,103.0
jockey_w,津村明秀,11,9,10,86,116,9.5,17.2,25.9,115.0,95.0
jockey_w,田辺裕信,11,14,8,82,115,9.6,21.7,28.7,86.0,90.0
jockey_w,M.デムーロ,11,9,7,55,82,13.4,24.4,32.9,108.0,88.0
jockey_w,J.モレイラ,11,4,2,5,22,50.0,68.2,77.3,121.0,109.0
jockey_w,石橋脩,9,5,6,70,90,10.0,15.6,22.2,130.0,99.0
frame,1枠,22,36,33,295,386,5.7,15.0,23.6,56.0,85.0
frame,2枠,33,34,21,314,402,8.2,16.7,21.9,79.0,80.0
frame,3枠,31,28,32,327,418,7.4,14.1,21.8,84.0,84.0
frame,4枠,49,32,25,337,443,11.1,18.3,23.9,110.0,90.0
frame,5枠,34,44,46,348,472,7.2,16.5,26.3,66.0,86.0
frame,6枠,34,35,40,388,497,6.8,13.9,21.9,70.0,77.0
frame,7枠,44,43,52,404,543,8.1,16.0,25.6,76.0,87.0
frame,8枠,45,39,42,458,584,7.7,14.4,21.6,89.0,84.0
averunningstyle,逃げ,9,10,12,93,124,7.3,15.3,25.0,68.0,84.0
averunningstyle,先行,116,115,97,758,1086,10.7,21.3,30.2,82.0,87.0
averunningstyle,差し,57,60,49,233,399,14.3,29.3,41.6,76.0,88.0
averunningstyle,追込,10,6,4,35,55,18.2,29.1,36.4,82.0,72.0
distance,500m以上延長,0,1,1,73,75,0.0,1.3,2.7,0.0,20.0
distance,300m-400m延長,6,9,3,134,152,3.9,9.9,11.8,95.0,84.0
distance,100m-200m延長,52,54,58,540,704,7.4,15.1,23.3,75.0,83.0
distance,距離変更なし,103,103,104,821,1131,9.1,18.2,27.4,77.0,84.0
distance,100m-200m短縮,65,68,65,596,794,8.2,16.8,24.9,76.0,88.0
distance,300m-400m短縮,8,5,4,61,78,10.3,16.7,21.8,133.0,103.0
distance,500m以上短縮,3,0,3,61,67,4.5,4.5,9.0,80.0,55.0
surface,芝→芝,235,232,226,2052,2745,8.6,17.0,25.2,79.0,85.0
surface,ダ→芝,2,8,11,229,250,0.8,4.0,8.4,29.0,75.0
stable_trainer,美浦,225,244,228,2418,3115,7.2,15.1,22.4,75.0,84.0
stable_trainer,栗東,67,47,63,451,628,10.7,18.2,28.2,94.0,85.0
