factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,464,462,463,5806,7195,6.4,12.9,19.3,79.0,81.0
father_w,ヘニーヒューズ,26,26,19,237,308,8.4,16.9,23.1,77.0,80.0
father_w,ロードカナロア,25,25,15,148,213,11.7,23.5,30.5,96.0,96.0
father_w,シニスターミニスター,23,17,21,113,174,13.2,23.0,35.1,116.0,103.0
father_w,ドレフォン,19,11,19,133,182,10.4,16.5,26.9,86.0,90.0
father_w,ディスクリートキャット,12,12,12,95,131,9.2,18.3,27.5,94.0,89.0
father_w,ドゥラメンテ,12,9,3,73,97,12.4,21.6,24.7,113.0,79.0
father_w,ダノンレジェンド,11,11,15,83,120,9.2,18.3,30.8,106.0,113.0
father_w,キンシャサノキセキ,10,10,12,134,166,6.0,12.0,19.3,90.0,92.0
father_w,パイロ,10,8,22,112,152,6.6,11.8,26.3,64.0,80.0
father_w,マジェスティックウォリアー,10,8,4,91,113,8.8,15.9,19.5,112.0,89.0
jockey_w,戸崎圭太,40,33,21,154,248,16.1,29.4,37.9,81.0,80.0
jockey_w,C.ルメール,38,17,15,82,152,25.0,36.2,46.1,84.0,79.0
jockey_w,三浦皇成,26,24,18,159,227,11.5,22.0,30.0,86.0,81.0
jockey_w,横山武史,22,28,28,155,233,9.4,21.5,33.5,55.0,79.0
jockey_w,菅原明良,20,26,24,189,259,7.7,17.8,27.0,74.0,88.0
jockey_w,津村明秀,16,13,14,165,208,7.7,13.9,20.7,102.0,84.0
jockey_w,田辺裕信,16,11,16,147,190,8.4,14.2,22.6,76.0,76.0
jockey_w,内田博幸,13,17,20,213,263,4.9,11.4,19.0,75.0,83.0
jockey_w,横山和生,13,17,8,104,142,9.2,21.1,26.8,87.0,88.0
jockey_w,川田将雅,13,5,8,18,44,29.5,40.9,59.1,102.0,100.0
frame,1枠,52,44,47,698,841,6.2,11.4,17.0,89.0,80.0
frame,2枠,55,57,54,703,869,6.3,12.9,19.1,85.0,87.0
frame,3枠,51,55,44,746,896,5.7,11.8,16.7,77.0,77.0
frame,4枠,66,56,70,718,910,7.3,13.4,21.1,84.0,82.0
frame,5枠,50,55,60,753,918,5.4,11.4,18.0,66.0,77.0
frame,6枠,62,63,65,728,918,6.8,13.6,20.7,79.0,82.0
frame,7枠,72,64,63,721,920,7.8,14.8,21.6,82.0,84.0
frame,8枠,56,68,60,739,923,6.1,13.4,19.9,70.0,79.0
averunningstyle,逃げ,29,23,29,217,298,9.7,17.4,27.2,85.0,90.0
averunningstyle,先行,196,188,162,1617,2163,9.1,17.8,25.2,78.0,82.0
averunningstyle,差し,74,61,52,402,589,12.6,22.9,31.7,87.0,81.0
averunningstyle,追込,11,7,9,63,90,12.2,20.0,30.0,82.0,75.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,5,1,3,119,128,3.9,4.7,7.0,96.0,71.0
distance,100m-200m延長,97,115,105,1860,2177,4.5,9.7,14.6,72.0,74.0
distance,距離変更なし,233,221,216,1930,2600,9.0,17.5,25.8,82.0,84.0
distance,100m-200m短縮,44,43,59,600,746,5.9,11.7,19.6,64.0,73.0
distance,300m-400m短縮,46,40,36,654,776,5.9,11.1,15.7,102.0,93.0
distance,500m以上短縮,3,3,4,64,74,4.1,8.1,13.5,137.0,151.0
surface,ダ→ダ,396,397,397,4542,5732,6.9,13.8,20.8,79.0,82.0
surface,芝→ダ,32,26,26,678,762,4.2,7.6,11.0,74.0,68.0
stable_trainer,美浦,366,377,389,5048,6180,5.9,12.0,18.3,76.0,79.0
stable_trainer,栗東,98,85,74,755,1012,9.7,18.1,25.4,94.0,90.0
