ジョーカプチーノ,15.4,34.6,38.5
ロードカナロア,13.9,25.7,31.7
キズナ,11.1,11.1,19.4
ミッキーアイル,9.4,22.6,30.2
ビッグアーサー,7.8,17.2,21.9
シルバーステート,7.3,14.6,29.3
モーリス,6.8,11.9,22.0
ダイワメジャー,6.3,9.5,17.5
