course_name,fav_win_rate,longshot_place_rate,extreme_longshot_place_rate,upset_score,upset_rank
中山芝1200m,31.6,17.9,5.3,21.9,S
中山芝1600m,32.4,16.4,4.4,17.9,A
中山芝1800m,24.4,16.0,3.5,23.6,S
中山芝2000m,32.7,15.9,2.8,13.8,B
中山芝2200m,31.4,11.1,3.3,11.3,B
中山芝2500m,47.2,13.4,4.1,-0.6,C
中山ダート1200m,36.1,16.0,3.6,12.1,B
中山ダート1800m,33.7,14.2,4.6,14.6,B
中山ダート2400m,37.8,24.5,4.3,20.3,S
中山ダート2500m,40.0,10.0,9.5,14.0,B
