factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,261,260,259,2741,3521,7.4,14.8,22.2,79.0,81.0
father_w,ロードカナロア,20,25,20,156,221,9.0,20.4,29.4,68.0,83.0
father_w,エピファネイア,18,17,20,137,192,9.4,18.2,28.6,71.0,80.0
father_w,モーリス,15,12,20,117,164,9.1,16.5,28.7,72.0,81.0
father_w,キズナ,15,16,10,119,160,9.4,19.4,25.6,95.0,83.0
father_w,ルーラーシップ,14,8,7,80,109,12.8,20.2,26.6,107.0,83.0
father_w,ディープインパクト,12,19,12,112,155,7.7,20.0,27.7,58.0,75.0
father_w,ハーツクライ,11,8,11,88,118,9.3,16.1,25.4,83.0,73.0
father_w,ドゥラメンテ,10,4,3,92,109,9.2,12.8,15.6,79.0,57.0
father_w,キングカメハメハ,10,2,2,25,39,25.6,30.8,35.9,159.0,92.0
father_w,リオンディーズ,8,14,8,76,106,7.5,20.8,28.3,70.0,89.0
jockey_w,岩田望来,23,17,16,102,158,14.6,25.3,35.4,97.0,92.0
jockey_w,川田将雅,21,11,16,46,94,22.3,34.0,51.1,70.0,77.0
jockey_w,坂井瑠星,16,16,9,70,111,14.4,28.8,36.9,85.0,89.0
jockey_w,松山弘平,10,16,11,98,135,7.4,19.3,27.4,50.0,68.0
jockey_w,鮫島克駿,10,8,13,78,109,9.2,16.5,28.4,77.0,82.0
jockey_w,福永祐一,10,3,8,40,61,16.4,21.3,34.4,81.0,69.0
jockey_w,和田竜二,9,17,10,116,152,5.9,17.1,23.7,67.0,87.0
jockey_w,幸英明,9,11,10,105,135,6.7,14.8,22.2,96.0,90.0
jockey_w,武豊,9,16,4,70,99,9.1,25.3,29.3,59.0,69.0
jockey_w,藤岡佑介,9,9,4,55,77,11.7,23.4,28.6,118.0,103.0
frame,1枠,16,32,39,272,359,4.5,13.4,24.2,51.0,98.0
frame,2枠,35,28,30,278,371,9.4,17.0,25.1,94.0,90.0
frame,3枠,33,31,32,300,396,8.3,16.2,24.2,83.0,82.0
frame,4枠,39,29,24,324,416,9.4,16.3,22.1,101.0,80.0
frame,5枠,37,31,26,333,427,8.7,15.9,22.0,97.0,81.0
frame,6枠,31,40,37,345,453,6.8,15.7,23.8,78.0,86.0
frame,7枠,33,33,43,422,531,6.2,12.4,20.5,66.0,80.0
frame,8枠,37,36,28,467,568,6.5,12.9,17.8,68.0,65.0
averunningstyle,逃げ,5,12,7,96,120,4.2,14.2,20.0,48.0,79.0
averunningstyle,先行,128,117,110,891,1246,10.3,19.7,28.5,82.0,85.0
averunningstyle,差し,39,41,42,276,398,9.8,20.1,30.7,71.0,80.0
averunningstyle,追込,9,5,3,33,50,18.0,28.0,34.0,109.0,82.0
distance,500m以上延長,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,3,5,10,158,176,1.7,4.5,10.2,53.0,76.0
distance,100m-200m延長,18,34,30,505,587,3.1,8.9,14.0,55.0,74.0
distance,距離変更なし,135,126,117,1004,1382,9.8,18.9,27.4,80.0,81.0
distance,100m-200m短縮,50,46,51,404,551,9.1,17.4,26.7,91.0,93.0
distance,300m-400m短縮,11,12,10,152,185,5.9,12.4,17.8,67.0,73.0
distance,500m以上短縮,4,2,2,34,42,9.5,14.3,19.0,121.0,81.0
surface,芝→芝,215,221,207,1999,2642,8.1,16.5,24.3,79.0,82.0
surface,ダ→芝,6,4,13,259,282,2.1,3.5,8.2,79.0,73.0
stable_trainer,美浦,9,20,16,211,256,3.5,11.3,17.6,47.0,76.0
stable_trainer,栗東,252,240,243,2524,3259,7.7,15.1,22.6,81.0,82.0
