factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,583,582,581,5533,7279,8.0,16.0,24.0,79.0,84.0
father_w,シニスターミニスター,36,27,23,131,217,16.6,29.0,39.6,125.0,108.0
father_w,キズナ,35,36,28,165,264,13.3,26.9,37.5,75.0,90.0
father_w,ドレフォン,23,16,19,131,189,12.2,20.6,30.7,90.0,88.0
father_w,マジェスティックウォリアー,22,15,19,153,209,10.5,17.7,26.8,108.0,93.0
father_w,ルーラーシップ,20,17,23,201,261,7.7,14.2,23.0,76.0,85.0
father_w,ホッコータルマエ,17,14,13,179,223,7.6,13.9,19.7,77.0,68.0
father_w,ドゥラメンテ,16,21,19,116,172,9.3,21.5,32.6,51.0,80.0
father_w,ヘニーヒューズ,15,14,10,105,144,10.4,20.1,27.1,77.0,78.0
father_w,ジャスタウェイ,14,9,10,101,134,10.4,17.2,24.6,114.0,89.0
father_w,ハーツクライ,12,14,8,95,129,9.3,20.2,26.4,71.0,76.0
jockey_w,松山弘平,47,42,24,140,253,18.6,35.2,44.7,89.0,86.0
jockey_w,岩田望来,42,48,35,170,295,14.2,30.5,42.4,78.0,95.0
jockey_w,幸英明,35,22,30,224,311,11.3,18.3,28.0,97.0,86.0
jockey_w,坂井瑠星,34,30,19,125,208,16.3,30.8,39.9,87.0,88.0
jockey_w,川田将雅,33,21,21,42,117,28.2,46.2,64.1,72.0,88.0
jockey_w,武豊,25,22,9,61,117,21.4,40.2,47.9,94.0,91.0
jockey_w,鮫島克駿,23,15,31,172,241,9.5,15.8,28.6,80.0,83.0
jockey_w,和田竜二,20,24,37,271,352,5.7,12.5,23.0,67.0,82.0
jockey_w,岩田康誠,18,9,9,91,127,14.2,21.3,28.3,116.0,93.0
jockey_w,団野大成,17,19,19,170,225,7.6,16.0,24.4,80.0,79.0
frame,1枠,52,51,48,561,712,7.3,14.5,21.2,81.0,79.0
frame,2枠,48,45,64,599,756,6.3,12.3,20.8,70.0,76.0
frame,3枠,58,72,55,615,800,7.2,16.2,23.1,68.0,81.0
frame,4枠,78,61,54,672,865,9.0,16.1,22.3,88.0,82.0
frame,5枠,84,91,64,700,939,8.9,18.6,25.5,91.0,91.0
frame,6枠,87,90,100,738,1015,8.6,17.4,27.3,84.0,92.0
frame,7枠,84,91,99,800,1074,7.8,16.3,25.5,73.0,82.0
frame,8枠,92,81,97,848,1118,8.2,15.5,24.2,76.0,82.0
averunningstyle,逃げ,27,20,22,193,262,10.3,17.9,26.3,76.0,73.0
averunningstyle,先行,257,262,229,1579,2327,11.0,22.3,32.1,73.0,83.0
averunningstyle,差し,72,57,57,290,476,15.1,27.1,39.1,88.0,90.0
averunningstyle,追込,0,4,5,20,29,0.0,13.8,31.0,0.0,79.0
distance,500m以上延長,5,1,5,160,171,2.9,3.5,6.4,126.0,54.0
distance,300m-400m延長,15,24,30,424,493,3.0,7.9,14.0,60.0,85.0
distance,100m-200m延長,66,82,81,792,1021,6.5,14.5,22.4,74.0,87.0
distance,距離変更なし,370,342,350,2809,3871,9.6,18.4,27.4,81.0,85.0
distance,100m-200m短縮,67,76,60,693,896,7.5,16.0,22.7,74.0,77.0
distance,300m-400m短縮,9,7,3,101,120,7.5,13.3,15.8,95.0,74.0
distance,500m以上短縮,4,3,7,73,87,4.6,8.0,16.1,83.0,81.0
surface,ダ→ダ,481,466,489,4267,5703,8.4,16.6,25.2,80.0,85.0
surface,芝→ダ,55,69,47,774,945,5.8,13.1,18.1,71.0,77.0
stable_trainer,美浦,11,8,19,347,385,2.9,4.9,9.9,50.0,53.0
stable_trainer,栗東,572,574,562,5185,6893,8.3,16.6,24.8,80.0,85.0
