factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,100,100,102,1000,1302,7.7,15.4,23.2,80.0,80.0
father_w,ロードカナロア,15,19,8,81,123,12.2,27.6,34.1,85.0,92.0
father_w,ビッグアーサー,8,5,6,36,55,14.5,23.6,34.5,93.0,75.0
father_w,ダイワメジャー,6,4,4,46,60,10.0,16.7,23.3,141.0,90.0
father_w,キズナ,4,4,3,39,50,8.0,16.0,22.0,86.0,68.0
father_w,モーリス,4,1,4,38,47,8.5,10.6,19.1,68.0,62.0
father_w,ミッキーアイル,4,1,6,28,39,10.3,12.8,28.2,81.0,67.0
father_w,ジャスタウェイ,3,1,0,16,20,15.0,20.0,20.0,196.0,119.0
father_w,アメリカンペイトリオット,3,2,0,12,17,17.6,29.4,29.4,142.0,95.0
father_w,タワーオブロンドン,3,0,0,5,8,37.5,37.5,37.5,197.0,102.0
father_w,リオンディーズ,2,0,6,24,32,6.2,6.2,25.0,52.0,73.0
jockey_w,岩田望来,9,5,10,31,55,16.4,25.5,43.6,97.0,101.0
jockey_w,坂井瑠星,8,2,4,23,37,21.6,27.0,37.8,135.0,97.0
jockey_w,藤岡康太,6,6,1,31,44,13.6,27.3,29.5,106.0,82.0
jockey_w,武豊,6,4,6,17,33,18.2,30.3,48.5,97.0,106.0
jockey_w,岩田康誠,5,4,4,14,27,18.5,33.3,48.1,139.0,105.0
jockey_w,北村友一,5,1,0,10,16,31.2,37.5,37.5,214.0,98.0
jockey_w,和田竜二,4,4,5,41,54,7.4,14.8,24.1,108.0,90.0
jockey_w,松山弘平,4,4,5,36,49,8.2,16.3,26.5,48.0,51.0
jockey_w,鮫島克駿,4,2,4,31,41,9.8,14.6,24.4,88.0,81.0
jockey_w,西村淳也,4,1,3,24,32,12.5,15.6,25.0,86.0,72.0
frame,1枠,8,14,8,104,134,6.0,16.4,22.4,62.0,72.0
frame,2枠,15,10,12,103,140,10.7,17.9,26.4,97.0,82.0
frame,3枠,16,19,17,95,147,10.9,23.8,35.4,100.0,106.0
frame,4枠,11,10,17,121,159,6.9,13.2,23.9,74.0,83.0
frame,5枠,11,19,9,124,163,6.7,18.4,23.9,65.0,85.0
frame,6枠,11,12,11,143,177,6.2,13.0,19.2,80.0,79.0
frame,7枠,18,9,21,141,189,9.5,14.3,25.4,92.0,87.0
frame,8枠,10,7,7,169,193,5.2,8.8,12.4,64.0,43.0
averunningstyle,逃げ,9,17,7,81,114,7.9,22.8,28.9,67.0,85.0
averunningstyle,先行,56,43,47,424,570,9.8,17.4,25.6,86.0,79.0
averunningstyle,差し,7,9,10,56,82,8.5,19.5,31.7,76.0,89.0
averunningstyle,追込,0,1,2,7,10,0.0,10.0,30.0,0.0,51.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,100m-200m延長,0,3,3,35,41,0.0,7.3,14.6,0.0,81.0
distance,距離変更なし,64,62,61,600,787,8.1,16.0,23.8,84.0,82.0
distance,100m-200m短縮,18,20,23,181,242,7.4,15.7,25.2,74.0,84.0
distance,300m-400m短縮,5,2,2,49,58,8.6,12.1,15.5,85.0,57.0
distance,500m以上短縮,0,0,0,29,29,0.0,0.0,0.0,0.0,0.0
surface,芝→芝,83,82,81,768,1014,8.2,16.3,24.3,81.0,80.0
surface,ダ→芝,4,5,8,124,141,2.8,6.4,12.1,61.0,82.0
stable_trainer,美浦,6,10,16,119,151,4.0,10.6,21.2,51.0,86.0
stable_trainer,栗東,94,90,86,878,1148,8.2,16.0,23.5,83.0,80.0
