factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,87,87,87,736,997,8.7,17.5,26.2,78.0,80.0
father_w,リオンディーズ,5,2,4,15,26,19.2,26.9,42.3,120.0,88.0
father_w,シニスターミニスター,5,3,2,10,20,25.0,40.0,50.0,160.0,109.0
father_w,ヘニーヒューズ,4,4,1,21,30,13.3,26.7,30.0,108.0,97.0
father_w,キンシャサノキセキ,4,3,1,22,30,13.3,23.3,26.7,139.0,84.0
father_w,マジェスティックウォリアー,4,1,3,9,17,23.5,29.4,47.1,191.0,126.0
father_w,ロードカナロア,3,4,7,28,42,7.1,16.7,33.3,63.0,98.0
father_w,ダノンレジェンド,3,1,0,10,14,21.4,28.6,28.6,114.0,102.0
father_w,リアルスティール,3,0,0,6,9,33.3,33.3,33.3,180.0,95.0
father_w,モーリス,2,1,2,15,20,10.0,15.0,25.0,93.0,66.0
father_w,ビッグアーサー,2,1,2,13,18,11.1,16.7,27.8,83.0,74.0
jockey_w,丹内祐次,6,0,6,47,59,10.2,10.2,20.3,132.0,86.0
jockey_w,武豊,6,4,2,10,22,27.3,45.5,54.5,103.0,94.0
jockey_w,斎藤新,4,3,1,12,20,20.0,35.0,40.0,195.0,104.0
jockey_w,横山和生,4,1,1,11,17,23.5,29.4,35.3,158.0,93.0
jockey_w,角田大和,4,1,1,6,12,33.3,41.7,50.0,155.0,86.0
jockey_w,小林凌大,3,3,2,31,39,7.7,15.4,20.5,94.0,63.0
jockey_w,横山武史,3,5,9,21,38,7.9,21.1,44.7,41.0,80.0
jockey_w,古川奈穂,3,4,2,26,35,8.6,20.0,25.7,75.0,80.0
jockey_w,鮫島克駿,3,3,2,23,31,9.7,19.4,25.8,81.0,89.0
jockey_w,横山琉人,3,3,3,16,25,12.0,24.0,36.0,84.0,85.0
frame,1枠,8,3,8,68,87,9.2,12.6,21.8,88.0,70.0
frame,2枠,4,4,7,71,86,4.7,9.3,17.4,57.0,64.0
frame,3枠,6,6,9,65,86,7.0,14.0,24.4,56.0,67.0
frame,4枠,6,9,3,69,87,6.9,17.2,20.7,75.0,71.0
frame,5枠,10,17,13,117,157,6.4,17.2,25.5,55.0,70.0
frame,6枠,13,12,17,123,165,7.9,15.2,25.5,80.0,83.0
frame,7枠,23,17,16,109,165,13.9,24.2,33.9,99.0,94.0
frame,8枠,17,19,14,114,164,10.4,22.0,30.5,90.0,96.0
averunningstyle,逃げ,17,12,7,60,96,17.7,30.2,37.5,96.0,90.0
averunningstyle,先行,52,47,43,313,455,11.4,21.8,31.2,81.0,78.0
averunningstyle,差し,0,2,5,10,17,0.0,11.8,41.2,0.0,76.0
averunningstyle,追込,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
distance,500m以上延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,300m-400m延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,100m-200m延長,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
distance,距離変更なし,54,56,57,395,562,9.6,19.6,29.7,75.0,77.0
distance,100m-200m短縮,23,18,19,213,273,8.4,15.0,22.0,84.0,79.0
distance,300m-400m短縮,5,9,8,52,74,6.8,18.9,29.7,80.0,123.0
distance,500m以上短縮,4,3,2,68,77,5.2,9.1,11.7,98.0,77.0
surface,ダ→ダ,74,80,75,595,824,9.0,18.7,27.8,76.0,81.0
surface,芝→ダ,12,6,11,133,162,7.4,11.1,17.9,94.0,74.0
stable_trainer,美浦,38,44,44,433,559,6.8,14.7,22.5,71.0,79.0
stable_trainer,栗東,49,43,43,303,438,11.2,21.0,30.8,84.0,82.0
