factor_type,entity,n1,n2,n3,out,starts,win_rate,quinella_rate,show_rate,win_roi,show_roi
baseline,ALL,248,248,249,2525,3270,7.6,15.2,22.8,79.0,81.0
father_w,ヘニーヒューズ,14,7,4,51,76,18.4,27.6,32.9,129.0,95.0
father_w,ドレフォン,11,10,11,75,107,10.3,19.6,29.9,92.0,83.0
father_w,シニスターミニスター,11,12,3,62,88,12.5,26.1,29.5,92.0,86.0
father_w,ルーラーシップ,9,5,6,62,82,11.0,17.1,24.4,156.0,100.0
father_w,ドゥラメンテ,9,7,5,42,63,14.3,25.4,33.3,92.0,90.0
father_w,パイロ,9,3,5,34,51,17.6,23.5,33.3,184.0,104.0
father_w,リオンディーズ,8,5,1,40,54,14.8,24.1,25.9,110.0,84.0
father_w,キズナ,8,4,0,34,46,17.4,26.1,26.1,110.0,75.0
father_w,マジェスティックウォリアー,7,8,8,62,85,8.2,17.6,27.1,78.0,88.0
father_w,マインドユアビスケッツ,6,3,8,37,54,11.1,16.7,31.5,93.0,91.0
jockey_w,横山武史,29,20,12,95,156,18.6,31.4,39.1,83.0,74.0
jockey_w,丹内祐次,21,27,24,131,203,10.3,23.6,35.5,84.0,91.0
jockey_w,武豊,19,13,10,44,86,22.1,37.2,48.8,100.0,93.0
jockey_w,横山和生,12,11,19,62,104,11.5,22.1,40.4,69.0,85.0
jockey_w,池添謙一,10,5,11,48,74,13.5,20.3,35.1,111.0,106.0
jockey_w,藤岡佑介,10,5,5,49,69,14.5,21.7,29.0,109.0,85.0
jockey_w,C.ルメール,10,6,4,28,48,20.8,33.3,41.7,72.0,72.0
jockey_w,鮫島克駿,9,11,12,83,115,7.8,17.4,27.8,65.0,85.0
jockey_w,北村友一,9,4,1,31,45,20.0,28.9,31.1,126.0,86.0
jockey_w,吉田隼人,8,7,5,66,86,9.3,17.4,23.3,82.0,67.0
frame,1枠,20,18,19,190,247,8.1,15.4,23.1,82.0,78.0
frame,2枠,13,14,22,198,247,5.3,10.9,19.8,61.0,69.0
frame,3枠,20,39,20,345,424,4.7,13.9,18.6,53.0,72.0
frame,4枠,39,19,36,350,444,8.8,13.1,21.2,87.0,75.0
frame,5枠,39,37,36,351,463,8.4,16.4,24.2,86.0,89.0
frame,6枠,41,52,32,347,472,8.7,19.7,26.5,89.0,90.0
frame,7枠,39,34,41,370,484,8.1,15.1,23.6,83.0,83.0
frame,8枠,37,35,43,374,489,7.6,14.7,23.5,76.0,82.0
averunningstyle,逃げ,15,9,1,106,131,11.5,18.3,19.1,85.0,53.0
averunningstyle,先行,114,101,117,789,1121,10.2,19.2,29.6,76.0,82.0
averunningstyle,差し,31,32,18,99,180,17.2,35.0,45.0,97.0,99.0
averunningstyle,追込,0,0,1,5,6,0.0,0.0,16.7,0.0,73.0
distance,500m以上延長,12,4,12,244,272,4.4,5.9,10.3,123.0,82.0
distance,300m-400m延長,14,6,7,136,163,8.6,12.3,16.6,109.0,72.0
distance,100m-200m延長,22,18,11,198,249,8.8,16.1,20.5,91.0,72.0
distance,距離変更なし,137,163,161,1327,1788,7.7,16.8,25.8,69.0,80.0
distance,100m-200m短縮,36,40,35,356,467,7.7,16.3,23.8,84.0,89.0
distance,300m-400m短縮,13,3,7,112,135,9.6,11.9,17.0,142.0,87.0
distance,500m以上短縮,5,5,7,69,86,5.8,11.6,19.8,88.0,93.0
surface,ダ→ダ,204,213,220,1995,2632,7.8,15.8,24.2,75.0,81.0
surface,芝→ダ,35,25,20,444,524,6.7,11.5,15.3,106.0,79.0
stable_trainer,美浦,115,109,110,1259,1593,7.2,14.1,21.0,78.0,76.0
stable_trainer,栗東,133,139,139,1263,1674,7.9,16.2,24.6,79.0,85.0
